DC,world,Job,Points,Name
Elemental,Aegis,blacksmith,767,Lachesis Knight
Elemental,Aegis,blacksmith,750,Ignis Rufus
Elemental,Aegis,blacksmith,750,Neea Nedy
Elemental,Aegis,blacksmith,750,Pesama Hasebe
Elemental,Aegis,blacksmith,738,Bakuku Matata
Elemental,Aegis,blacksmith,711,Shadow Glaive
Elemental,Aegis,blacksmith,704,Oguma Venus
Elemental,Aegis,blacksmith,690,Y'nero Tia
Elemental,Aegis,blacksmith,660,Fire Flower
Elemental,Aegis,blacksmith,643,Egon Walker
Elemental,Aegis,blacksmith,617,Victory Gg
Elemental,Aegis,blacksmith,612,Celin Beatrix
Elemental,Aegis,blacksmith,606,Gavial Noi
Elemental,Aegis,blacksmith,600,Chino Qino
Elemental,Aegis,blacksmith,600,Hoshi Don-
Elemental,Aegis,blacksmith,600,Shall Fields
Elemental,Aegis,blacksmith,570,Takana Katagiri
Elemental,Aegis,blacksmith,560,Ageha Luna
Elemental,Aegis,blacksmith,540,Gat' Ito
Elemental,Aegis,blacksmith,522,Eile Aina
Elemental,Aegis,blacksmith,485,Aspen Capen
Elemental,Aegis,blacksmith,480,Jadomont Fouillel
Elemental,Aegis,blacksmith,480,Nashiro Chord
Elemental,Aegis,blacksmith,479,Nachtigal Po
Elemental,Aegis,blacksmith,471,Nanaki Kusunoki
Elemental,Aegis,blacksmith,469,Ciel Sky
Elemental,Aegis,blacksmith,463,Riou Natume
Elemental,Aegis,blacksmith,450,Arc Chere
Elemental,Aegis,blacksmith,450,Azel Ahl
Elemental,Aegis,blacksmith,450,Fei Racanka
Elemental,Aegis,blacksmith,450,Retishia Rouge
Elemental,Aegis,blacksmith,450,Shin Arahi
Elemental,Aegis,blacksmith,446,Chura Libra
Elemental,Aegis,blacksmith,435,Chibi Tama
Elemental,Aegis,blacksmith,420,Coco Vanilla
Elemental,Aegis,blacksmith,420,Ecah'a Soleil
Elemental,Aegis,blacksmith,417,Jel Klude
Elemental,Aegis,blacksmith,411,Nola Soundray
Elemental,Aegis,blacksmith,393,Sora Amane'
Elemental,Aegis,blacksmith,390,Jade Welfeine
Elemental,Aegis,blacksmith,390,Komachi Takamura
Elemental,Aegis,blacksmith,390,Sera Re'plicant
Elemental,Aegis,blacksmith,390,Syatyou San
Elemental,Aegis,blacksmith,387,Juliet Persia
Elemental,Aegis,blacksmith,380,Cotton Ashdale
Elemental,Aegis,armorer,126980,Kuroku Swei
Elemental,Aegis,armorer,70664,Azuki Kuriyama
Elemental,Aegis,armorer,44729,Kvarfolian Trifolion
Elemental,Aegis,armorer,28507,Temari Uta
Elemental,Aegis,armorer,27157,Yuhka Ina
Elemental,Aegis,armorer,22528,Shank Althyk
Elemental,Aegis,armorer,11006,Bulo Sylph
Elemental,Aegis,armorer,8099,Yuki Tsuki
Elemental,Aegis,armorer,7933,Koma Chang
Elemental,Aegis,armorer,7510,Marimo Akan
Elemental,Aegis,armorer,7447,Renart Retriever
Elemental,Aegis,armorer,7230,Jacksonbird Al'akir
Elemental,Aegis,armorer,6558,Blackthorn Stir
Elemental,Aegis,armorer,6449,Takana Milkcocoa
Elemental,Aegis,armorer,6078,Raima Nonoa
Elemental,Aegis,armorer,5979,Rutile Ruu
Elemental,Aegis,armorer,5890,Hanns Freed
Elemental,Aegis,armorer,4873,Aventa Doll
Elemental,Aegis,armorer,4665,Blue Prune
Elemental,Aegis,armorer,4522,Rera Kamuy
Elemental,Aegis,armorer,3849,Calico Kitten
Elemental,Aegis,armorer,3750,Fire Flower
Elemental,Aegis,armorer,3569,Kd Ager
Elemental,Aegis,armorer,3461,Lexar Wienzulf
Elemental,Aegis,armorer,3390,Nezi Hephaistos
Elemental,Aegis,armorer,3036,Riku Ro
Elemental,Aegis,armorer,3010,Magur'o Wasabi
Elemental,Aegis,armorer,3000,Goma Goma
Elemental,Aegis,armorer,2989,Hans Grete
Elemental,Aegis,armorer,2879,Merlot Leiyu
Elemental,Aegis,armorer,2847,Chili Red
Elemental,Aegis,armorer,2818,Kinugoshi Dofu
Elemental,Aegis,armorer,2760,Akatuki Sion
Elemental,Aegis,armorer,2491,Emo Runa
Elemental,Aegis,armorer,2390,Bakka Teroyake
Elemental,Aegis,armorer,2357,Lunarith Cielgris
Elemental,Aegis,armorer,2250,Nose Shun
Elemental,Aegis,armorer,2156,Milky Kitten
Elemental,Aegis,armorer,2130,Rosa Alfinia
Elemental,Aegis,armorer,2097,Guran Mos
Elemental,Aegis,armorer,2043,Pist King
Elemental,Aegis,armorer,2036,Matcha Latte
Elemental,Aegis,armorer,1958,Yt Tt
Elemental,Aegis,armorer,1939,Mana Claves
Elemental,Aegis,armorer,1926,Ria Kruz
Elemental,Aegis,armorer,1905,Gaul Mitsuki
Elemental,Aegis,armorer,1770,Morg Ming
Elemental,Aegis,armorer,1705,Yokato Shamblo
Elemental,Aegis,armorer,1663,Shion Mcqueen
Elemental,Aegis,armorer,1650,Misha Marcust
Elemental,Aegis,armorer,1650,Ralf Steiner
Elemental,Aegis,armorer,1628,Raila Raina
Elemental,Aegis,armorer,1590,Mame Milk
Elemental,Aegis,armorer,1557,Lathi Nightbreed
Elemental,Aegis,armorer,1530,Dango Tameliolet
Elemental,Aegis,armorer,1510,O-men Pendragon
Elemental,Aegis,armorer,1501,Cotton Ashdale
Elemental,Aegis,armorer,1498,Aoi Lego
Elemental,Aegis,armorer,1440,Ageha Muramasa
Elemental,Aegis,armorer,1401,Rosa Rosso
Elemental,Aegis,armorer,1398,Take End
Elemental,Aegis,armorer,1380,Boys Absolute
Elemental,Aegis,armorer,1350,Felty Elicshell
Elemental,Aegis,armorer,1320,Johnny Blue
Elemental,Aegis,armorer,1253,Illumina Cranes
Elemental,Aegis,armorer,1252,Shadow Glaive
Elemental,Aegis,armorer,1222,Klytia Horace
Elemental,Aegis,armorer,1211,Honey Lemon
Elemental,Aegis,armorer,1176,Ayleth Stark
Elemental,Aegis,armorer,1142,Jeremiah- Gottwald
Elemental,Aegis,armorer,1140,Punipuni Puyopuyo
Elemental,Aegis,armorer,1110,Aina Gekkou
Elemental,Aegis,armorer,1107,Luche Sia
Elemental,Aegis,armorer,1084,Sherry Ealdred
Elemental,Aegis,armorer,1080,Yamato Miller
Elemental,Aegis,armorer,1072,Lemu Acell
Elemental,Aegis,armorer,1071,Nao Sun
Elemental,Aegis,armorer,1056,Yorozuya Watti
Elemental,Aegis,armorer,1049,Hyourei Noki
Elemental,Aegis,armorer,1039,Koh Sakisaka
Elemental,Aegis,armorer,990,Gozen Lunch
Elemental,Aegis,armorer,990,Nakuru Hawk
Elemental,Aegis,armorer,959,Waha Empress
Elemental,Aegis,armorer,958,Hrothgarlic Sauce
Elemental,Aegis,armorer,946,Amalthea Imsheep
Elemental,Aegis,armorer,938,Rui Mutsuki
Elemental,Aegis,armorer,937,Pofufu Pofu
Elemental,Aegis,armorer,930,Panda Colucolu
Elemental,Aegis,armorer,895,Mokugyonn Jack
Elemental,Aegis,armorer,891,Requin Grimoire
Elemental,Aegis,armorer,878,Akarie Super
Elemental,Aegis,armorer,870,Nia Tanzanite
Elemental,Aegis,armorer,857,Sharon Clarimonde
Elemental,Aegis,armorer,856,Shiro Silver
Elemental,Aegis,armorer,840,Spark Browne
Elemental,Aegis,armorer,827,Sakurame Mea
Elemental,Aegis,armorer,826,Ignis Rufus
Elemental,Aegis,armorer,816,Lalabel Bluedaisy
Elemental,Aegis,armorer,796,Ainna Chon
Elemental,Aegis,armorer,794,Allice Einsnacht
Elemental,Aegis,goldsmith,63189,Kan Sun
Elemental,Aegis,goldsmith,32798,Hey Bee
Elemental,Aegis,goldsmith,13520,Mado Sd
Elemental,Aegis,goldsmith,10284,Quasar Arthur
Elemental,Aegis,goldsmith,7350,Lexington Tatamaya
Elemental,Aegis,goldsmith,5103,Licca Fancy
Elemental,Aegis,goldsmith,4668,Arianna Freya
Elemental,Aegis,goldsmith,4061,Kirimi Sakana
Elemental,Aegis,goldsmith,3777,Luthier Clarion
Elemental,Aegis,goldsmith,3590,Mairo Lin
Elemental,Aegis,goldsmith,3492,Jyuki Iruka
Elemental,Aegis,goldsmith,3415,Oa Alba
Elemental,Aegis,goldsmith,3210,Hitomi Majyo
Elemental,Aegis,goldsmith,3077,L'ucia Amih
Elemental,Aegis,goldsmith,2762,Zito Eye
Elemental,Aegis,goldsmith,2719,Fyidoaa Titan
Elemental,Aegis,goldsmith,2710,Five Millimeter
Elemental,Aegis,goldsmith,2706,Chao Zoo
Elemental,Aegis,goldsmith,2587,Jacksonbird Al'akir
Elemental,Aegis,goldsmith,2350,Nero Aliapoh
Elemental,Aegis,goldsmith,2168,Kyouka Michelle
Elemental,Aegis,goldsmith,2156,Alpha Le'coeur
Elemental,Aegis,goldsmith,2145,Victory Gg
Elemental,Aegis,goldsmith,1886,Nachtigal Po
Elemental,Aegis,goldsmith,1800,Gouto Holly
Elemental,Aegis,goldsmith,1797,Maha Agreian
Elemental,Aegis,goldsmith,1586,Nashiro Chord
Elemental,Aegis,goldsmith,1579,Umyu Kamui
Elemental,Aegis,goldsmith,1493,Daddy Daddy
Elemental,Aegis,goldsmith,1474,Gavial Noi
Elemental,Aegis,goldsmith,1470,Murasaki Hime
Elemental,Aegis,goldsmith,1467,Air Real
Elemental,Aegis,goldsmith,1450,Fiona Animato
Elemental,Aegis,goldsmith,1410,Yuri White
Elemental,Aegis,goldsmith,1381,Siellu Umbra
Elemental,Aegis,goldsmith,1342,Susa Ivory
Elemental,Aegis,goldsmith,1331,Nanaki Kusunoki
Elemental,Aegis,goldsmith,1210,Stoy Koop
Elemental,Aegis,goldsmith,1200,Demi Tas
Elemental,Aegis,goldsmith,1183,Shall Fields
Elemental,Aegis,goldsmith,1173,Lestat Lioncourt
Elemental,Aegis,goldsmith,1106,Morse Shepard
Elemental,Aegis,goldsmith,1084,Shank Alf
Elemental,Aegis,goldsmith,1050,Neun Nine
Elemental,Aegis,goldsmith,1050,Sakuya Tachlbana
Elemental,Aegis,goldsmith,1000,Semih Lafihna
Elemental,Aegis,goldsmith,984,Pizza Kleingarten
Elemental,Aegis,goldsmith,930,Rud Coneflower
Elemental,Aegis,goldsmith,930,Sumi Matsuno
Elemental,Aegis,goldsmith,920,Tukiko Amano
Elemental,Aegis,goldsmith,900,Arc Chere
Elemental,Aegis,goldsmith,900,Nezi Hephaistos
Elemental,Aegis,goldsmith,898,Alice Halevy
Elemental,Aegis,goldsmith,847,Zero Cruel
Elemental,Aegis,goldsmith,840,Luche Sia
Elemental,Aegis,goldsmith,810,Spark Browne
Elemental,Aegis,goldsmith,807,Yayoi Hinagiku
Elemental,Aegis,goldsmith,800,Aria Himesaki
Elemental,Aegis,goldsmith,774,Feles Nylath
Elemental,Aegis,goldsmith,750,Neco Necco
Elemental,Aegis,goldsmith,715,Sekipu Cinnabon
Elemental,Aegis,goldsmith,690,Tawachi Wizwiz
Elemental,Aegis,goldsmith,651,Dachs Skarlet
Elemental,Aegis,goldsmith,630,Aurora Farron
Elemental,Aegis,goldsmith,630,Myuah'to Lheaya
Elemental,Aegis,goldsmith,629,Jeph Durandal
Elemental,Aegis,goldsmith,600,Ichinose Kuroneko
Elemental,Aegis,goldsmith,570,Hrothgarlic Sauce
Elemental,Aegis,goldsmith,570,Shadow Glaive
Elemental,Aegis,goldsmith,570,Takana Katagiri
Elemental,Aegis,goldsmith,540,Luther Wingfield
Elemental,Aegis,goldsmith,539,Ran Legend
Elemental,Aegis,goldsmith,538,Lefty Noel
Elemental,Aegis,goldsmith,532,Ainna Chon
Elemental,Aegis,goldsmith,528,Ciel Sky
Elemental,Aegis,goldsmith,510,Punipuni Puyopuyo
Elemental,Aegis,goldsmith,509,Kaiza Fukai
Elemental,Aegis,goldsmith,480,Leslie Behring
Elemental,Aegis,goldsmith,469,Pon Caminel
Elemental,Aegis,goldsmith,468,Windows Vista
Elemental,Aegis,goldsmith,463,Meguru Syu-ya
Elemental,Aegis,goldsmith,450,Felty Elicshell
Elemental,Aegis,goldsmith,450,Liasu Gremory
Elemental,Aegis,goldsmith,450,San Kashiwada
Elemental,Aegis,goldsmith,440,Lilina Dorian
Elemental,Aegis,goldsmith,432,Chamalog Rei
Elemental,Aegis,goldsmith,420,Fire Flower
Elemental,Aegis,goldsmith,420,Yam Yammy
Elemental,Aegis,goldsmith,392,Okome Wilder
Elemental,Aegis,goldsmith,390,Algo Roger
Elemental,Aegis,goldsmith,390,Kurogane Tia
Elemental,Aegis,goldsmith,389,Liz Triangle
Elemental,Aegis,goldsmith,385,Horkeu Kamui
Elemental,Aegis,goldsmith,380,Miah Lihzeh
Elemental,Aegis,goldsmith,360,Gat' Ito
Elemental,Aegis,goldsmith,357,Hinachi Kizakura
Elemental,Aegis,goldsmith,356,Sheryl Vinstein
Elemental,Aegis,goldsmith,355,Colo Colo
Elemental,Aegis,goldsmith,349,Fi Wisteria
Elemental,Aegis,goldsmith,330,Gal Kaicie
Elemental,Aegis,goldsmith,330,Haki Aura
Elemental,Aegis,goldsmith,330,Remo Tea
Elemental,Aegis,goldsmith,330,Rosa Alfinia
Elemental,Aegis,leatherworker,66181,Koma Chang
Elemental,Aegis,leatherworker,53968,Luther Wingfield
Elemental,Aegis,leatherworker,43106,Irina Yaharage
Elemental,Aegis,leatherworker,36035,Azi Poyo
Elemental,Aegis,leatherworker,27162,Monokeros Killcal
Elemental,Aegis,leatherworker,11069,Gat' Ito
Elemental,Aegis,leatherworker,8805,Ecoco Eco
Elemental,Aegis,leatherworker,7359,Victory Gg
Elemental,Aegis,leatherworker,6108,Schelm Wildkatze
Elemental,Aegis,leatherworker,4384,Junpei Tadano
Elemental,Aegis,leatherworker,4207,Tempt Toy
Elemental,Aegis,leatherworker,3837,Name Row
Elemental,Aegis,leatherworker,3792,Jacksonbird Al'akir
Elemental,Aegis,leatherworker,3419,Rilke Quartz
Elemental,Aegis,leatherworker,3152,Omoti Moti
Elemental,Aegis,leatherworker,3131,Shiro Silver
Elemental,Aegis,leatherworker,2465,Tanuki Tangyuan
Elemental,Aegis,leatherworker,2371,Fritz Fleetwood
Elemental,Aegis,leatherworker,2306,Gouto Holly
Elemental,Aegis,leatherworker,2257,Quasar Arthur
Elemental,Aegis,leatherworker,2212,King Kujira
Elemental,Aegis,leatherworker,2092,Ally Iryumu
Elemental,Aegis,leatherworker,2070,Moco Sugar
Elemental,Aegis,leatherworker,2068,True Moon
Elemental,Aegis,leatherworker,2063,Jyuki Iruka
Elemental,Aegis,leatherworker,1984,Milky Kitten
Elemental,Aegis,leatherworker,1851,Faye Andrea
Elemental,Aegis,leatherworker,1747,Nachtigal Po
Elemental,Aegis,leatherworker,1680,Rai Kano
Elemental,Aegis,leatherworker,1644,Sania Amituki
Elemental,Aegis,leatherworker,1620,Saq Ino
Elemental,Aegis,leatherworker,1590,Lain Lain
Elemental,Aegis,leatherworker,1525,Uta Crest
Elemental,Aegis,leatherworker,1413,Satori Satorain
Elemental,Aegis,leatherworker,1273,Nashiro Chord
Elemental,Aegis,leatherworker,1266,Katuwo Soboro
Elemental,Aegis,leatherworker,1216,Rowena Blackthorn
Elemental,Aegis,leatherworker,1170,Cedia Mori
Elemental,Aegis,leatherworker,1115,Daisuke Sukesuke
Elemental,Aegis,leatherworker,1056,Kuro Issant
Elemental,Aegis,leatherworker,990,Marcus Deraven
Elemental,Aegis,leatherworker,966,Seki Robbins
Elemental,Aegis,leatherworker,960,Eliza Garcia
Elemental,Aegis,leatherworker,960,Ichinose Kuroneko
Elemental,Aegis,leatherworker,960,Kurusu Larb
Elemental,Aegis,leatherworker,954,Punipuni Puyopuyo
Elemental,Aegis,leatherworker,952,Nanaki Kusunoki
Elemental,Aegis,leatherworker,892,Coron Anli
Elemental,Aegis,leatherworker,870,Icy Liam
Elemental,Aegis,leatherworker,870,Riku Ro
Elemental,Aegis,leatherworker,840,Ayleth Stark
Elemental,Aegis,leatherworker,840,X'luvara Tia
Elemental,Aegis,leatherworker,790,Coco Allure
Elemental,Aegis,leatherworker,778,Popoyon Poporon
Elemental,Aegis,leatherworker,750,Spark Browne
Elemental,Aegis,leatherworker,748,Sumi Matsuno
Elemental,Aegis,leatherworker,740,Codex Bookmarker
Elemental,Aegis,leatherworker,739,Blue Bone
Elemental,Aegis,leatherworker,635,Aria Himesaki
Elemental,Aegis,leatherworker,613,Chicory Nyan
Elemental,Aegis,leatherworker,612,Mello Colon
Elemental,Aegis,leatherworker,605,Floria Scarlet
Elemental,Aegis,leatherworker,600,Dachs Skarlet
Elemental,Aegis,leatherworker,600,Lemu Acell
Elemental,Aegis,leatherworker,596,Bunjiee Miruku
Elemental,Aegis,leatherworker,575,Nywawa Fenq
Elemental,Aegis,leatherworker,570,Makkun Strike
Elemental,Aegis,leatherworker,570,Wolf Raines
Elemental,Aegis,leatherworker,540,Ageha Muramasa
Elemental,Aegis,leatherworker,540,Edge Burns
Elemental,Aegis,leatherworker,510,Kurogane Tia
Elemental,Aegis,leatherworker,510,Murasaki Hime
Elemental,Aegis,leatherworker,502,Shadow Glaive
Elemental,Aegis,leatherworker,492,Hanns Freed
Elemental,Aegis,leatherworker,487,Waddle Dee
Elemental,Aegis,leatherworker,478,Eve Reivers
Elemental,Aegis,leatherworker,473,Sharon Clarimonde
Elemental,Aegis,leatherworker,462,Popful Poppy
Elemental,Aegis,leatherworker,450,Key Rion
Elemental,Aegis,leatherworker,450,Luche Sia
Elemental,Aegis,leatherworker,450,Rei Getsu
Elemental,Aegis,leatherworker,450,Sana Colette
Elemental,Aegis,leatherworker,450,Schwalt Wheeler
Elemental,Aegis,leatherworker,435,Yulian Nohl
Elemental,Aegis,leatherworker,420,Ion Izzet
Elemental,Aegis,leatherworker,420,J'abber Wock
Elemental,Aegis,leatherworker,390,Mizer Pryna
Elemental,Aegis,leatherworker,379,Sharlotte Beart
Elemental,Aegis,leatherworker,360,Buraishin Fenrilsoul
Elemental,Aegis,leatherworker,360,Panda Colucolu
Elemental,Aegis,leatherworker,360,San Kashiwada
Elemental,Aegis,leatherworker,336,C'amilo Tia
Elemental,Aegis,leatherworker,330,Alma Atuy
Elemental,Aegis,leatherworker,319,E'lenon Tia
Elemental,Aegis,leatherworker,300,Waha Empress
Elemental,Aegis,leatherworker,300,Yayoi Hinagiku
Elemental,Aegis,leatherworker,299,Kaiza Fukai
Elemental,Aegis,leatherworker,296,Saku Kisaragi
Elemental,Aegis,leatherworker,289,Monono Solala
Elemental,Aegis,leatherworker,288,Atton Yakizake
Elemental,Aegis,weaver,50599,Spark Browne
Elemental,Aegis,weaver,28299,Thafyn Coffyn
Elemental,Aegis,weaver,25560,L'ucia Amih
Elemental,Aegis,weaver,25064,Lunarith Cielgris
Elemental,Aegis,weaver,20921,Akane Kurusu
Elemental,Aegis,weaver,17429,Eirusat Frenchpan
Elemental,Aegis,weaver,16813,Calico Kitten
Elemental,Aegis,weaver,12062,Yobaba Yoba
Elemental,Aegis,weaver,11059,Toshi King
Elemental,Aegis,weaver,10716,Ciel Lumierre
Elemental,Aegis,weaver,7353,Alma Atuy
Elemental,Aegis,weaver,6365,Mei Mayu
Elemental,Aegis,weaver,5754,Yue Takuan
Elemental,Aegis,weaver,4800,Megu Tete
Elemental,Aegis,weaver,4465,Alice Terror
Elemental,Aegis,weaver,3977,Shake'a Thorn
Elemental,Aegis,weaver,3960,Jacksonbird Al'akir
Elemental,Aegis,weaver,3924,Stella Alba
