DC,world,Job,Points,Name
Elemental,Aegis,goldsmith,2876,Sora Tsukino
Elemental,Aegis,goldsmith,2790,Chico Otsuki
Elemental,Aegis,leatherworker,853001,Koma Chang
Elemental,Aegis,leatherworker,678834,Luther Wingfield
Elemental,Aegis,leatherworker,500916,Irina Yaharage
Elemental,Aegis,leatherworker,430166,True Moon
Elemental,Aegis,leatherworker,424971,Kankan Draphfarmer
Elemental,Aegis,leatherworker,351115,Azi Poyo
Elemental,Aegis,leatherworker,333707,Monokeros Killcal
Elemental,Aegis,leatherworker,207518,Ally Iryumu
Elemental,Aegis,leatherworker,190537,Gat' Ito
Elemental,Aegis,leatherworker,169009,Ecoco Eco
Elemental,Aegis,leatherworker,141787,Tomoyo After
Elemental,Aegis,leatherworker,128470,Mello Colon
Elemental,Aegis,leatherworker,113498,Siman Beta
Elemental,Aegis,leatherworker,101597,Guruna La
Elemental,Aegis,leatherworker,74521,Rilke Quartz
Elemental,Aegis,leatherworker,67624,Saq Ino
Elemental,Aegis,leatherworker,38996,Victory Gg
Elemental,Aegis,leatherworker,27937,Tempt Toy
Elemental,Aegis,leatherworker,27023,Cedia Mori
Elemental,Aegis,leatherworker,25827,Hinata Todo
Elemental,Aegis,leatherworker,21665,Kvarfolian Trifolion
Elemental,Aegis,leatherworker,20573,J'abber Wock
Elemental,Aegis,leatherworker,19808,Prisis Lakolo
Elemental,Aegis,leatherworker,19269,Edge Burns
Elemental,Aegis,leatherworker,18688,Crain Valis
Elemental,Aegis,leatherworker,15683,Omoti Moti
Elemental,Aegis,leatherworker,15157,Schelm Wildkatze
Elemental,Aegis,leatherworker,15134,Itsuki Yu
Elemental,Aegis,leatherworker,12532,Nashiro Chord
Elemental,Aegis,leatherworker,11829,Shadow Glaive
Elemental,Aegis,leatherworker,11407,Hershey Kisses
Elemental,Aegis,leatherworker,11322,Elrik Lotus
Elemental,Aegis,leatherworker,10960,Unagi Fry
Elemental,Aegis,leatherworker,10241,Silverna Vanille
Elemental,Aegis,leatherworker,9300,King Kujira
Elemental,Aegis,leatherworker,8961,Jacksonbird Al'akir
Elemental,Aegis,leatherworker,8309,Kurusu Larb
Elemental,Aegis,leatherworker,8281,Name Row
Elemental,Aegis,leatherworker,8277,Amalthea Imsheep
Elemental,Aegis,leatherworker,7935,Fritz Fleetwood
Elemental,Aegis,leatherworker,7320,Moco Sugar
Elemental,Aegis,leatherworker,7257,Rowena Blackthorn
Elemental,Aegis,leatherworker,7171,Crown Allen
Elemental,Aegis,leatherworker,6823,Seki Robbins
Elemental,Aegis,leatherworker,6672,Codex Bookmarker
Elemental,Aegis,leatherworker,6281,Sakura Crow
Elemental,Aegis,leatherworker,5721,Sharlotte Beart
Elemental,Aegis,leatherworker,5707,Semuer Byregot
Elemental,Aegis,leatherworker,5657,Icy Liam
Elemental,Aegis,leatherworker,5520,Marcus Deraven
Elemental,Aegis,leatherworker,5423,Wolf Raines
Elemental,Aegis,leatherworker,5363,Finely Ghana
Elemental,Aegis,leatherworker,5189,Kiyo Matsu
Elemental,Aegis,leatherworker,5077,Faye Andrea
Elemental,Aegis,leatherworker,4731,Cotton Ashdale
Elemental,Aegis,leatherworker,4402,Rana Rona
Elemental,Aegis,leatherworker,4384,Junpei Tadano
Elemental,Aegis,leatherworker,4105,Lain Lain
Elemental,Aegis,leatherworker,4044,Eliza Garcia
Elemental,Aegis,leatherworker,4008,Alisa Re
Elemental,Aegis,leatherworker,3958,Ruruku Ruku
Elemental,Aegis,leatherworker,3853,Rai Kano
Elemental,Aegis,leatherworker,3639,Tanuki Tangyuan
Elemental,Aegis,leatherworker,3547,Popoyon Poporon
Elemental,Aegis,leatherworker,3415,Makkun Strike
Elemental,Aegis,leatherworker,3410,Elflan Myosotis
Elemental,Aegis,leatherworker,3332,Schwalt Wheeler
Elemental,Aegis,leatherworker,3131,Shiro Silver
Elemental,Aegis,leatherworker,3034,Okome Wilder
Elemental,Aegis,leatherworker,2901,Milky Kitten
Elemental,Aegis,leatherworker,2871,Ion Izzet
Elemental,Aegis,leatherworker,2862,Mizer Pryna
Elemental,Aegis,leatherworker,2738,Shiina Heartland
Elemental,Aegis,leatherworker,2695,Syu Reak
Elemental,Aegis,leatherworker,2534,Nemu Levitt
Elemental,Aegis,leatherworker,2488,Katuwo Soboro
Elemental,Aegis,leatherworker,2399,Gintoki Tomoe
Elemental,Aegis,leatherworker,2345,Sachi Koro
Elemental,Aegis,leatherworker,2306,Gouto Holly
Elemental,Aegis,leatherworker,2300,Noel Syuz
Elemental,Aegis,leatherworker,2292,L'ucia Amih
Elemental,Aegis,leatherworker,2257,Quasar Arthur
Elemental,Aegis,leatherworker,2196,Atton Yakizake
Elemental,Aegis,leatherworker,2143,Chiru Wan
Elemental,Aegis,leatherworker,2112,Popful Poppy
Elemental,Aegis,leatherworker,2063,Jyuki Iruka
Elemental,Aegis,leatherworker,2008,Freyia Read
Elemental,Aegis,leatherworker,1980,Arc Chere
Elemental,Aegis,leatherworker,1975,Nywawa Fenq
Elemental,Aegis,leatherworker,1974,Sania Amituki
Elemental,Aegis,leatherworker,1956,Kurogane Tia
Elemental,Aegis,leatherworker,1950,Hina Kotori
Elemental,Aegis,leatherworker,1918,Syou Chan
Elemental,Aegis,leatherworker,1872,Hoshi Don-
Elemental,Aegis,leatherworker,1811,Juglans Aesir
Elemental,Aegis,leatherworker,1800,Lachesis Knight
Elemental,Aegis,leatherworker,1785,Lolobon Terapin
Elemental,Aegis,leatherworker,1764,Frang Moriarty
Elemental,Aegis,leatherworker,1747,Nachtigal Po
Elemental,Aegis,leatherworker,1720,Potya Proto
Elemental,Aegis,weaver,695613,You Miller
Elemental,Aegis,weaver,479246,Gald Sieg
Elemental,Aegis,weaver,451889,Yobaba Yoba
Elemental,Aegis,weaver,322987,Thafyn Coffyn
Elemental,Aegis,weaver,317245,Spark Browne
Elemental,Aegis,weaver,249761,Lunarith Cielgris
Elemental,Aegis,weaver,221649,Calico Kitten
Elemental,Aegis,weaver,198159,Alma Atuy
Elemental,Aegis,weaver,190599,Ciel Lumierre
Elemental,Aegis,weaver,189307,Hyourei Noki
Elemental,Aegis,weaver,166215,Toshi King
Elemental,Aegis,weaver,159840,Ahly Valkyrie
Elemental,Aegis,weaver,126605,Noah Falon
Elemental,Aegis,weaver,105097,Akane Kurusu
